                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.647,                 2.8125,                 2.2336,                0.43946,                0.37021,                0.34978,                0.14783,                 1.9325,                 2.1366,                 2.5302,             0.00016832,             0.00016832,             0.00016832
                     35,                 1.6272,                  2.791,                 2.2177,                0.56702,                0.33944,                0.35557,                0.17841,                 1.7133,                 1.9917,                 2.2946,             0.00016585,             0.00016585,             0.00016585
                     36,                 1.6115,                 2.7649,                 2.1994,                0.48526,                 0.4212,                0.38047,                0.17396,                  1.766,                 1.9467,                  2.344,             0.00016338,             0.00016338,             0.00016338
                     37,                 1.6277,                 2.7882,                 2.2011,                0.51155,                0.40352,                0.37217,                0.16207,                 1.8905,                 2.0279,                  2.478,              0.0001609,              0.0001609,              0.0001609
                     38,                 1.6011,                 2.7082,                 2.1891,                0.45537,                 0.3938,                0.36841,                0.17371,                 1.7801,                 1.9122,                 2.3515,             0.00015843,             0.00015843,             0.00015843
                     39,                  1.603,                 2.6772,                 2.1741,                0.46768,                0.40287,                0.37538,                0.17171,                 1.7993,                 2.0287,                 2.4171,             0.00015595,             0.00015595,             0.00015595
                     40,                 1.5876,                 2.6905,                 2.1689,                0.52285,                0.42125,                0.41545,                 0.1839,                 1.8601,                 1.9644,                 2.4617,             0.00015348,             0.00015348,             0.00015348
                     41,                 1.5849,                 2.6987,                 2.1655,                0.57955,                0.37933,                0.40893,                0.19831,                  1.711,                 1.8614,                 2.2767,               0.000151,               0.000151,               0.000151
                     42,                 1.5829,                 2.6456,                 2.1564,                0.52415,                0.41266,                 0.4032,                 0.1943,                 1.7428,                 1.9607,                 2.3285,             0.00014853,             0.00014853,             0.00014853
                     43,                 1.5489,                 2.6218,                 2.1431,                0.55398,                0.41966,                0.43061,                 0.1938,                 1.7914,                 1.8892,                 2.4132,             0.00014605,             0.00014605,             0.00014605
                     44,                 1.5563,                 2.5893,                 2.1376,                0.52692,                0.43368,                0.41567,                0.19828,                 1.7772,                 1.8338,                 2.3328,             0.00014358,             0.00014358,             0.00014358
                     45,                 1.5888,                 2.6415,                 2.1653,                0.56893,                0.39709,                0.42606,                0.19326,                 1.8701,                 1.8514,                 2.4376,              0.0001411,              0.0001411,              0.0001411
                     46,                   1.55,                 2.5569,                 2.1407,                0.66286,                0.39827,                0.43531,                0.21477,                 1.6761,                 1.7968,                 2.2514,             0.00013862,             0.00013862,             0.00013862
                     47,                 1.5487,                 2.5619,                 2.1183,                0.60026,                0.41868,                0.44629,                0.20452,                 1.7747,                 1.7896,                  2.354,             0.00013615,             0.00013615,             0.00013615
                     48,                 1.5612,                 2.5755,                 2.1356,                0.56376,                0.40529,                0.48104,                0.20983,                 1.8035,                 1.7949,                 2.3388,             0.00013368,             0.00013368,             0.00013368
                     49,                 1.5577,                 2.5767,                 2.1207,                0.47779,                0.43453,                0.43575,                0.21897,                 1.6779,                 1.8276,                 2.2452,              0.0001312,              0.0001312,              0.0001312
                     50,                 1.5584,                 2.5935,                 2.1289,                0.46932,                0.46264,                0.43822,                0.21339,                 1.7208,                 1.7737,                 2.2854,             0.00012872,             0.00012872,             0.00012872
                     51,                 1.5295,                 2.5229,                  2.114,                 0.6425,                 0.3958,                0.45257,                0.21636,                 1.7588,                 1.7398,                 2.3068,             0.00012625,             0.00012625,             0.00012625
                     52,                 1.5357,                 2.4964,                  2.107,                0.45685,                0.45922,                0.43897,                0.21683,                 1.6704,                 1.8238,                 2.2634,             0.00012377,             0.00012377,             0.00012377
                     53,                 1.5351,                 2.4941,                 2.1119,                0.57691,                0.41501,                0.42266,                0.21574,                 1.6895,                 1.7664,                 2.2339,              0.0001213,              0.0001213,              0.0001213
                     54,                 1.5334,                 2.4632,                 2.1014,                0.53421,                 0.4461,                0.45831,                0.22745,                 1.7068,                 1.7091,                 2.2473,             0.00011883,             0.00011883,             0.00011883
                     55,                 1.5176,                 2.4993,                 2.0987,                0.60683,                0.39339,                 0.4425,                0.23182,                 1.6325,                 1.6873,                 2.1744,             0.00011635,             0.00011635,             0.00011635
                     56,                 1.5104,                 2.4637,                 2.0852,                0.58469,                0.44157,                0.47462,                0.24899,                 1.6046,                  1.686,                 2.1734,             0.00011387,             0.00011387,             0.00011387
                     57,                 1.5203,                 2.4746,                 2.0988,                0.56676,                0.44602,                0.47242,                0.23783,                 1.6173,                 1.6802,                 2.1783,              0.0001114,              0.0001114,              0.0001114
                     58,                 1.5276,                 2.4772,                  2.096,                0.60441,                0.43584,                0.45996,                0.25061,                 1.5442,                 1.6192,                 2.0847,             0.00010893,             0.00010893,             0.00010893
                     59,                 1.5121,                  2.407,                 2.0791,                0.52912,                0.45856,                0.46205,                  0.226,                 1.7442,                 1.6228,                 2.2966,             0.00010645,             0.00010645,             0.00010645
                     60,                  1.506,                 2.4217,                 2.0893,                0.63124,                0.41309,                0.46365,                0.23612,                 1.6616,                 1.6484,                 2.2151,             0.00010398,             0.00010398,             0.00010398
                     61,                 1.4922,                 2.4286,                 2.0679,                0.60269,                0.43269,                0.46592,                0.22894,                 1.7975,                 1.6205,                 2.3404,              0.0001015,              0.0001015,              0.0001015
